WRM Electrical Spare List ,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,,Unit,Qty (01.02.24),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,MLFB No.,Unit,Qty (01.02.24),Used Location,Capacity,Storage Location,Type,,,,,,,,,,
11,1000181007,"FLOW SWITCH INDICATOR,PN:08.01.01.01/05",,PC,6,,,,,,,,,,,,,,
12,1000182313,"Part of Limit SWITCH,LIMIT,240V AC,IEC60947-5-1",,PC,3,,,,,,,,,,,,,,
12A,,"LIMIT SWITCH,3SE5112-0YA00",,,,,,,,,,,,,,,,,
12B,,"LIVER PART,LIMIT SWITCH, SIEMENS",,PC,10,,,,,,,,,,,,,,
13,1000588026,"CAMERA,DIG;PN:FRTPACCAMECCDVT1100",,PC,1,,,,,,,,,,,,,,
14,1000138051,"SMPS,2.5A,24VDC",,PC,1,,,,,,,,,,,,,,
15,1000458352,"TIMER;ON DELAY,230VAC,PN:H30TG",,PC,1,,,,,,,,,,,,,,
16,1000213394,"LASER SENSOR,PN:01D100",,PC,5,,,,,,,,,,,,,,
17,1000214187,"CONNECTOR,MM:DS2508",,PC,4,,,,,,,,,,,,,,
18,,OXYGEN ANALYSER CALIBRATION KIT,,PC,1,,,,,,,,,,,,,,
19,1000398020,SENSOR;MN:WTB27-3P2411S18,,PC,23,,,,,,,,,,,,,,
20,1000168849,"FUSE,160A,DIN 000,TYPE:170M1569D",,PC,5,,,,,,,,,,,,,,
21,1000591651,"TRANSMITTER,PRS;PN:7MF4033IBA101AA6Z (CA FAN PT)",,PC,1,,,,,,,,,,,,,,
22,1000513713,"DAMPER POSITION XMTR;POSITION,SIPART PS2- (MAKE-SIEMENS)- PG & MAIN DAMPER",,PC,3PC +2 OLD,,,,,,,,,,,,,,
23,1000013595,"DAMPER POSITIONER,FFB,MM:TZIDC 120,MAKE-ABB",,PC,3,,,,,,,,,,,,,,
24,1000520166,"LEVEL TRANSMITTER,RADR;MN:SITRANS LR250",,PC,1,,,,,,,,,,,,,,
25,1000011919,"POSITIONER,PNEUMATIC,MM:830WP MAKE- FOBSMARSHAL",,PC,1,,,,,,,,,,,,,,
25A,,"HFO LINE SHUTOFF VALVE,2INCH,10BAR, 0001593, MAKE- BURKET",,,,,,,,,,,,,,,,,
26,1000198124,"CONNECTOR,PN:BKS-S 32M-00,F/TRANSDUCER",,PC,7,,,,,,,,,,,,,,
27,1000214144,"MAGNET F/TRANSDUCER,MM:BTL5F28141S",,PC,3,,,,,,,,,,,,,,
28,1000214078,"BAR;175MM,PN:BTL2GS100175A",,PC,9,,,,,,,,,,,,,,
29,1000259382,"FUSE,1000A,700-200KA,TYPE:170M6714",,PC,7,,,,,,,,,,,,,,
30,1000390259,"MPCB;6-10A,3P,PN:GV2ME14+GVAD1010",,PC,23,,,,,,,,,,,,,,
31,1000303835,VALVE;PN:VAS120R/NWSR,,PC,4,,,,,,,,,,,,,,
32,1000323969,"MCB;1P, 80A,PN:A9N18357",,PC,2,,,,,,,,,,,,,,
33,1000207571,"PRESSURE SWITCH,500MBAR,MM:DG500U-3 (FOR GAS)",,PC,,,,,,,,,,,,,,,
34,,"CT, 400/5,VA5, CLASS-15,TYPE-R",,PC,4,,,,,,,,,,,,,,
35,,"CT, 600/5,VA5, CLASS-15,TYPE-R",,PC,3,,,,,,,,,,,,,,
37,,"CT, 50/5,VA5, CLASS-15,TYPE-R",,PC,3,,,,,,,,,,,,,,
38,,"BURKET PNEUMATIC SHUTOFF VALVE,10BAR, 424103",,PC,3,,,,,,,,,,,,,,
40,,"TRANSFORMER 115-200V/27VDC,4A,VT-NE30-20 MAKE- REXROTH",,PC,3,,,,,,,,,,,,,,
42,1000191024,"FLOMAC FLOWMETERN RATE TOTALISER, MODEL- RT141 D0FMW/PULSE,MM:RT121D0MM",,PC,6,,,,,,,,,,,,,,
44,1000484191,"TRANSMITTER,PRS;PN:7MF4033-1DA10-2AC6-Z, SIEMENS",,PC,3,,,,,,,,,,,,,,
45,1000220376,"MCCB,400A,3P,50KA,MM:LV432693",,PC,1,,,,,,,,,,,,,,
46,,"SCHNEIDER NO-NC CONTACT, GVAE11",,PC,16,,,,,,,,,,,,,,
47,,BCU 460-5/1W1GB,,PC,2,,,,,,,,,,,,,,
48,,"TEMP CONTROLLER (FUJI ELECTRIC),TYPE-PXF9AEY2-1V100",,PC,1,,,,,,,,,,,,,,
49,,"PT 7MF03000-1JE01-5AM2Z,SITRANS P320,6 BAR ,MAKE- SIEMENS",,PC,1,,,,,,,,,,,,,,
49A,1000511965,"DPT, FLOW TRANSMITTER,DP;1-20MBAR,4-20MA, SIEMENS",,,1,,,,,,,,,,,,,,
50,1000484191,"DPT,TRANSMITTER,PRS;PN:7MF4033-1DA10-2AC6-Z, MAKE- SIEMENS",,PC,2,,,,,,,,,,,,,,
51,1000303845,"DPT ,FLOW TANSMITTER;PN:7MF4433-1EA02-1AA6-Z,6-600 mbar, MAKE- SIEMENS",,PC,3,,,,,,,,,,,,,,
52,1000330408,"TEMP TRANSMITTER;0-100C,22-32VDC,PN:ETS 1700 MAKE- HYDAC",,PC,1,,,,,,,,,,,,,,
53,,"AUX CONTACT, 3VL9400-2AJ20",,PC,,,,,,,,,,,,,,,
54,,"PROXY FULL THREAD ,IIS226",,PC,8,,,,,,,,,,,,,,
55,1000318576,"VALVE,SOL;MN:SMC SY5140-5DZ-Q",,PC,1,,,,,,,,,,,,,,
56,1000310404,"LEVEL SWITCH,LVL;LR7000,18-30 VDC, IFM",,PC,2,,,,,,,,,,,,,,
57,1000294666,"GLASS;PYREX/BOROSILLICATE,DIA. 82.5,CAMERA",,PC,10,,,,,,,,,,,,,,
57A,1000572315,"METER,FLOW;AL,PN:OM050A001-511-R5",,PC,4,,,,,,,,,,,,,,
58,,"RTD,PT-100, 450MM",,PC,10,,,,,,,,,,,,,,
59,1000182358,"RTD,2 WIRE,PT-100, 300MM, SS F/HEAT TRACER",,PC,10,,,,,,,,,,,,,,
60,,"RTD, PT-100, 200MM",,PC,3,,,,,,,,,,,,,,
61,1000245448,"THERMOCOUPLE, K TYPE,SIMPLEX,3MM,2000MM",,PC,6,,,,,,,,,,,,,,
62,,"THERMOCOUPLE,T TYPE",,PC,1,,,,,,,,,,,,,,
63,1000012229,"PRESSURE TRANSMITTER,PRESS,0-10BAR, SIEMENS",,PC,4,,,,,,,,,,,,,,
64,,,,PC,,,,,,,,,,,,,,,
65,,,,PC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1000251164,"HRC FUSE, 690V,900A, PN:3NE3340-8",,PC,7,,,,,,,,,,,,,,
2,1000358178,"HRC FUSE, 690V,850A, PN:3NE1448-2",,PC,3,,,,,,,,,,,,,,
3,1000359192,"HRC FUSE, 690V,710A, PN:3NE3337-8",,PC,6,,,,,,,,,,,,,,
4,1000261373,"HRC FUSE, 690V,630A, PN:3NE3336",,PC,8,,,,,,,,,,,,,,
5,1000251165,"HRC FUSE, 690V,560A, PN:3NE3335",,PC,6,,,,,,,,,,,,,,
6,1000251166,"HRC FUSE, 690V,500A, PN:3NE3334-0B",,PC,6,,,,,,,,,,,,,,
7,1000298682,"HRC FUSE, 690V,450A, PN:3NE3233 ",,PC,6,,,,,,,,,,,,,,
8,1000251163,"HRC FUSE, 690V,400A, PN:3NE3232-0B",,PC,6,,,,,,,,,,,,,,
9,1000004717,"HRC FUSE, 690V,315A, PN:3NE1230-0",,PC,4,,,,,,,,,,,,,,
10,1000227801,"HRC FUSE, 690V,200A, PN:3NE1225-0",,PC,26,,,,,,,,,,,,,,
11,1000343851,"HRC FUSE, 690V,160A, PN:3NE1224-0",,PC,1,,,,,,,,,,,,,,
12,1000227803,"HRC FUSE, 690V,125A, PN:3NE1022-0",,PC,9,,,,,,,,,,,,,,
13,1000216238,"HRC FUSE, 690V,100A, PN:3NA7830-0RC",,PC,70,,,,,,,,,,,,,,
14,1000227800,"HRC FUSE, 690V,80A, PN:3NE1820-0",,PC,6,,,,,,,,,,,,,,
15,1000266740,"FUSE,SEMICONDUCTOR,BS88,690V,80A,PN:80ET",,PC,15,,,,,,,,,,,,,,
16,1000227798,"HRC FUSE, 690V,63A, PN:3NA7822-6",,PC,32,,,,,,,,,,,,,,
17,1000098309,"HRC FUSE, 415V,50A, PN:3NA3820-7Y",,PC,22,,,,,,,,,,,,,,
18,1000164681,"FUSE LINK,415V, 32A, PN:3NWTIA32",,PC,10,,,,,,,,,,,,,,
19,1000310005,"HRC FUSE, 20A, PN:1700263",,PC,6,,,,,,,,,,,,,,
20,1000004526,"FUSE LINK, 6A, PN: 3NWNS6",,PC,20,,,,,,,,,,,,,,
21,1000358191,"HRC FUSE, 6A ,PN:3NA7801-6",,PC,16,,,,,,,,,,,,,,
22,1000252950,"TUBULAR FUSE,415V, 6A, PN:3NW6301-1",,PC,30,,,,,,,,,,,,,,
23,1000359865,"TUBULAR FUSE, 6A,PN:ATDR8",,PC,5,,,,,,,,,,,,,,
24,1000193277,"FUSE LINK, 415V,4A, PN:3NWNS4",,PC,9,,,,,,,,,,,,,,
25,1000236331,"HRC FUSE, 2A, PN: 3NA7802-6",,PC,18,,,,,,,,,,,,,,
26,1000193275,"HBC FUSE LINK, 2A, PN: 3NWNS2",,PC,50,,,,,,,,,,,,,,
27,,PN:10506144EREV-A,,PC,3,,,,,,,,,,,,,,
28,1000359865,"GLASS FUSE, 6A, PN:ATDR8",,PC,50,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
29,1000236180,"SWITCH FUSE UNIT, 160A, PN: 3NP4070-0CH01",,PC,3,,,,,,,,,,,,,,
30,1000253133,"DISCONNECTOR,100A, PN:3NP4010-0CH01",,PC,1,,,,,,,,,,,,,,
31,1000260584,"SWITCH,DISCONNECT,SITOR,690V,50A, PN:3NC1091",,PC,2,,,,,,,,,,,,,,
32,1000004524,"FUSE HOLDER, 32A, PN: 3NW32",,PC,20,,,,,,,,,,,,,,
33,1000260584,"SWITCH,DISCONNECT,SITOR,690V,PN:3NC1091",,PC,3,,,,,,,,,,,,,,
34,1000376124,"PULLER,FUSE, PN:3NX1013",,PC,3,,,,,,,,,,,,,,
35,1000004405,"FUSE BASE,1P, PN:3NH3030,160A",,PC,4,,,,,,,,,,,,,,
36,1000098433,"FUSE BASE,1P,GR-3, 360A,690V, PN:3NH3430",,PC,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
R-1,1000384531,FL SWITCH SFN 4 TX/FX ST,,PC,1,,,,,,,,,,,,,,
R-2,1000459933,IB IL 24 DO 16 PAC,,PC,2,,,,,,,,,,,,,,
R-3,1000459937,IB IL 24 DI 16 PAC,,PC,1,,,,,,,,,,,,,,
R-4,1000461183,"MODULE, 24 VDC, PN;2878722",,PC,1,,,,,,,,,,,,,,
R-5,1000461358,SERVO MOTOR CONNECTOR,,PC,1,,,,,,,,,,,,,,
R-6,1000461350,A082500010 RELAY ,,PC,1,,,,,,,,,,,,,,
R-7,,PROFI BUSS CONNECTOR ;PN NO 2744348,,PC,1,,,,,,,,,,,,,,
R-8,1000461354,GLASS SIGHT ; PN;B.ODAC.1001.204,,PC,6,,,,,,,,,,,,,,
R-9,1000461353,GLASS SIGHT ; PN;B.ODAC.1001.104,,PC,3,,,,,,,,,,,,,,
R-10,1000461181,IB IL TEMP 2 RTD -PAC,,PC,1,,,,,,,,,,,,,,
R-11,1000459936,IL ETH BK DI8 DO4,,PC,2,,,,,,,,,,,,,,
R-12,1000461348,"DIODE 24VDC,PN;B.N2.540.0160",,PC,4,,,,,,,,,,,,,,
R-13,100046180,DOOR LIMIT SWITCH (IB IL DOR LV SET PEC),,PC,1,,,,,,,,,,,,,,
R-14,,ROD GAUGE SHUTTER MOTOR PCB ,,PC,1 REMOVED,,,,,,,,,,,,,,
R-15,1000461184,"MODULE, ILC150 ETH 24VDC,PN2985330",,PC,1,,,,,,,,,,,,,,
R-16,1000461185,SMPS,,PC,1,,,,,,,,,,,,,,
R-17,,ROD GAUGE CALIBRATION KIT,,PC,1,,,,,,,,,,,,,,
R-17A,1000634701,ENCODER ERN 430 1024 80S12-03,,PC,0,,,,,,,,,,,,,,
R-18,1000461349,HEAD;PN;ODAC.1001.66730,,Set,I OLD+1 NEW,,,,,,,,,,,,,,
R-19,1000467450,BELT,,PC,2,,,,,,,,,,,,,,
R-20,1000461344,CARD;PN;N6.SP.092.A1,,PC,1,,,,,,,,,,,,,,
R-21,1000461346,DRIVE PN; A15 104 5080,,PC,1,,,,,,,,,,,,,,
R-22,1000532641,"CONVERTER,SIG;PN;CI6J/ENCI.610.03001",,PC,1 REMOVED,,,,,,,,,,,,,,
R-22A,1000461358,"MOTOR,SERVO;PN:A15 101 1250",,PC,1 Old,,,,,,,,,,,,,,
R-23,1000364043,"A/C;KG-4266,PANEL,R134A,230VAC,270MM",,PC,2 Removed,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,"LVDT, TRANSDUCER,PN:    (Strep Compactor)",,PC,1 Removed,,,,,,,,,,,,,,
2,1000209092,"LVDT, TRANSDUCER,PN:BTL5-E10-M1750-P-S32 (KICKOFF)",,PC,3 Removed +1 New,,,,,,,,,,,,,,
3,1000214080,"LVDT, TRANDUCER,PN:BTL5-E10-M0450-P-S32 (WALKING BEAM TRANSVERSE)",,PC,3 Removed +1 New,,,,,,,,,,,,,,
4,1000209091,"LVDT, TRANSDUCER,PN:BTL5-E10-M1250-P-S32 (WALKING BEAM UP-DOWN)",,PC,4 New,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1000008935,"MCB,1A,1 POLE",,PC,48,,,,,,,,,,,,,,
1A,1000281052,"MCB;1A,3P ,5SX43017RC,230V,10KA,18MM",,PC,2,,,,,,,,,,,,,,
2,1000008924,"MCB,2A,1 POLE",,PC,50,,,,,,,,,,,,,,
3,1000008944,"MCB,2A,2 POLE#, Siemens",,PC,30,,,,,,,,,,,,,,
4,1000280147,"MCB;4A,3P,5SX43047RC,230V, Siemens",,PC,2,,,,,,,,,,,,,,
5,1000199541,"MCB,1P,6A",,PC,13,,,,,,,,,,,,,,
6,1000008946,"MCB,06A,2POLE, Siemens/ABB",,PC,86,,,,,,,,,,,,,,
7,1000008960,"MCB,6A,3POLE, Siemens",,PC,8,,,,,,,,,,,,,,
8,1000254209,"MCB,10A,1P,CAT:5SX41048RC, Siemens",,PC,100,,,,,,,,,,,,,,
9,1000254207,"MCB,10A,3P,CAT:5SX43108RC",,PC,22,,,,,,,,,,,,,,
10,1000008961,"MCB,16A,3POLE#",,PC,24,,,,,,,,,,,,,,
11,1000008973,"MCB,16A,4POLE#",,PC,10,,,,,,,,,,,,,,
12,1000254188,"MCB,20A,1P,CAT:5SX41208RC, Siemens",,PC,39,,,,,,,,,,,,,,
13,1000174644,"MCB,20A,3P",,PC,30,,,,,,,,,,,,,,
14,1000254205,"MCB,25A,2P,CAT:5SX42258RC",,PC,3,,,,,,,,,,,,,,
15,1000254190,"MCB,32A,1P,CAT:5SX41328RC",,PC,12,,,,,,,,,,,,,,
16,1000008963,"MCB,32A,3POLE",,PC,48,,,,,,,,,,,,,,
17,1000254189,"MCB,40A,1P,CAT:5SJ41408RC, Siemens",,PC,16,,,,,,,,,,,,,,
18,1000254208,"MCB,40A,3P,CAT:5SJ43408RC, Siemens",,PC,13,,,,,,,,,,,,,,
19,,"MCB,50A,2P, Siemens",,PC,8,,,,,,,,,,,,,,
20,1000254162,"MCB,63A,1P,10KA,MM:5SX41637RC",,PC,31,,,,,,,,,,,,,,
21,1000008976,"MCB,63A,4P",,PC,1,,,,,,,,,,,,,,
22,1000323969,"MCB,80A,1P",,PC,22,,,,,,,,,,,,,,
23,1000280158,"MCB; 80A,3P, 5SP43807RC,10KA,Siemens",,PC,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1000127027,"BEARING,BALL,6040 M  - SKF",,PC,3,,,,,,,,,,,,,,
2,1000197274,"BEARING,BALL,DES:6040 M C3  SKF",,PC,1,,,,,,,,,,,,,,
3,1000023227,"BEARING,BALL,6232 M C3   SKF",,PC,2,,,,,,,,,,,,,,
4,1000258509,"BEARING,BALL,DES:6038MC3   SKF",,PC,2,,,,,,,,,,,,,,
5,1000215455,"BEARING,BALL,DEEP GROOVE,DES:6330C3   SKF",,PC,1,,,,,,,,,,,,,,
6,1000216662,"BEARING,BALL,DES:NU1040ML   SKF",,PC,1,,,,,,,,,,,,,,
7,1000215458,"BEARING,CYL ROLLER,DES:NU1032ML   SKF",,PC,2,,,,,,,,,,,,,,
8,1000215456,"BEARING,CYL ROLLER,DES:NU1038ML   SKF",,PC,2,,,,,,,,,,,,,,
9,1000023014,"BEARING,BALL,6228 C3#     SKF",,PC,2,,,,,,,,,,,,,,
10,1000217027,"BEARING,BALL,DES:6226C3VL0241   SKF",,PC,4,,,,,,,,,,,,,,
11,1000022937,"BEARING,BALL,6226 C3   SKF",,PC,7,,,,,,,,,,,,,,
12,1000216590,"BEARING,BALL,DEEP GROOVE,6224C3VL0241   SKF",,PC,3,,,,,,,,,,,,,,
13,1000023228,"BEARING,BALL,6224 C3    SKF",,PC,2,,,,,,,,,,,,,,
14,1000023254,"BEARING,BALL,6224    SKF",,PC,2,,,,,,,,,,,,,,
15,1000022967,"BEARING,BALL,6322 C3     SKF",,PC,2,,,,,,,,,,,,,,
16,1000217026,"BEARING,BALL,DES:6220 C3 VL0241   SKF",,PC,1,,,,,,,,,,,,,,
17,1000023012,"BEARING,BALL,6220    SKF",,PC,3,,,,,,,,,,,,,,
18,1000291510,"BEARING,BALL;Dsgn:6220 C3    SKF",,PC,4,,,,,,,,,,,,,,
19,1000188093,"BEARING,BALL,DES:6319 M/C3 VL0241   SKF",,PC,3,,,,,,,,,,,,,,
20,1000023035,"BEARING,BALL,6319   SKF",,PC,3,,,,,,,,,,,,,,
21,1000022965,"BEARING,BALL,6319 C3#  SKF",,PC,2,,,,,,,,,,,,,,
22,1000271059,"BEARING,BALL,DEEP GROOVE,6318 C3 VL0241   SKF",,PC,2,,,,,,,,,,,,,,
23,1000022964,"BEARING,BALL,6318 C3#   SKF",,PC,8,,,,,,,,,,,,,,
24,1000284195,"BEARING,DES:6317 M    SKF",,PC,2,,,,,,,,,,,,,,
25,1000023033,"BEARING,BALL,6317  SKF",,PC,4,,,,,,,,,,,,,,
26,,"BEARING,BALL,6317 C3    SKF",,PC,7,,,,,,,,,,,,,,
26A,1000023064,"BEARING,BALL,6316 C3#  FAG",,PC,2,,,,,,,,,,,,,,
28,1000022962,"BEARING,BALL,6315 C3#   SKF",,PC,7,,,,,,,,,,,,,,
28A,1000022962,"BEARING,BALL,6315 C3#    FAG",,PC,2,,,,,,,,,,,,,,
29,1000023030,"BEARING,BALL,6314  SKF",,PC,2,,,,,,,,,,,,,,
30,1000022961,"BEARING,BALL,6314 C3#    SKF",,PC,3,,,,,,,,,,,,,,
31,1000023029,"BEARING,BALL,6313     SKF",,PC,22,,,,,,,,,,,,,,
32,1000201387,"BEARING,BALL,6313 ZZ C3   SKF",,PC,25,,,,,,,,,,,,,,
33,1000023195,"BEARING,BALL,6313 C3#    SKF",,PC,5,,,,,,,,,,,,,,
34,1000023028,"BEARING,BALL,6312   SKF",,PC,5,,,,,,,,,,,,,,
35,1000023120,"BEARING,BALL,6312 C3    SKF",,PC,26,,,,,,,,,,,,,,
36,1000023062,"BEARING,BALL,63102Z    SKF",,PC,21,,,,,,,,,,,,,,
37,1000221767,"BEARING,BALL,6310Z,PN:10329265    SKF",,PC,10,,,,,,,,,,,,,,
38,1000022958,"BEARING,BALL,6310 ZZ C3#   SKF",,PC,5,,,,,,,,,,,,,,
39,1000022955,"BEARING,BALL,6310 C3#    SKF",,PC,4,,,,,,,,,,,,,,
40,1000023103,"BEARING,BALL,6309 C3    SKF",,PC,2,,,,,,,,,,,,,,
41,1000022954,"BEARING,BALL,6309 2Z C3#    SKF",,PC,4,,,,,,,,,,,,,,
41A,1000022953,"BEARING,BALL,6309 2Z#   FAG",,PC,2,,,,,,,,,,,,,,
43,1000022951,"BEARING,BALL,6308 2Z C3#     SKF",,PC,8,,,,,,,,,,,,,,
44,1000022948,"BEARING,BALL,6307 2Z C3#    SKF",,PC,23,,,,,,,,,,,,,,
45,1000022947,"BEARING,BALL,63062Z#    SKF",,PC,26,,,,,,,,,,,,,,
46,1000022946,"BEARING,BALL,63052Z#   SKF",,PC,55,,,,,,,,,,,,,,
47,,"BEARING,BALL,6305 2Z C3#  SKF",,PC,8,,,,,,,,,,,,,,
48,1000023021,"BEARING,BALL,6305   SKF",,PC,3,,,,,,,,,,,,,,
49,1000023127,"BEARING,BALL,6304 2Z     SKF",,PC,10,,,,,,,,,,,,,,
50,1000251839,"BEARING,BALL,6303-2Z-C3    SKF",,PC,23,,,,,,,,,,,,,,
51,1000023531,"BEARING,ROLLER,NU217 ECM   SKF",,PC,3,,,,,,,,,,,,,,
51A,1000247943,"BEARING,ROLLER,DES:N312ECM   SKF",,PC,1,,,,,,,,,,,,,,
51B,1000247942,"BEARING,ROLLER,DES:N312ECJ/C3   SKF",,PC,2,,,,,,,,,,,,,,
52,1000247946,"BEARING,ROLLER,DES:NU218ECM OR ECJ    SKF",,PC,4,,,,,,,,,,,,,,
53,1000247944,"BEARING,ROLLER,DES:NU218 ECJ/C3  SKF",,PC,4,,,,,,,,,,,,,,
54,1000247945,"BEARING,ROLLER,DES:NU218 ECM   SKF",,PC,5,,,,,,,,,,,,,,
55,1000216661,"BEARING,BALL,DEEP GROOVE,6218 C3 VL0241   SKF",,PC,2,,,,,,,,,,,,,,
56,1000216661,"BEARING,BALL,DEEP GROOVE,6218C3VL0241 M   SKF",,PC,3,,,,,,,,,,,,,,
57,1000291505,"BEARING,BALL;CAT:6218C3   SKF",,PC,8,,,,,,,,,,,,,,
58,1000422265,BEARING;BALL: 6218-M C3   SKF,,PC,4,,,,,,,,,,,,,,
59,,BEARING;BALL: J20AA C3    FAG,,PC,5,,,,,,,,,,,,,,
60,1000022936,"BEARING,BALL,6217 C3    SKF",,PC,5,,,,,,,,,,,,,,
61,1000376896,"BEARING;BALL,Dsgn:6216-2Z-C3    SKF",,PC,6,,,,,,,,,,,,,,
62,1000376320,"BEARING;DSGN:6216.C4.J20AA,SLG,80,140   SKF",,PC,4,,,,,,,,,,,,,,
63,1000022932,"BEARING,BALL,6213   SKF",,PC,6,,,,,,,,,,,,,,
63A,1000022932,"BEARING,BALL,6213 C3#   SKF",,PC,2,,,,,,,,,,,,,,
64,1000247482,"BEARING,BALL,6213-2RS1   SKF",,PC,2,,,,,,,,,,,,,,
65,1000346814,BEARING;PN:6213 ZZ C3   SKF,,PC,7,,,,,,,,,,,,,,
66,1000092590,"BEARING,BALL,6209-ZZ     SKF",,PC,28,,,,,,,,,,,,,,
67,1000022926,"BEARING,BALL,6209 2Z C3# (FAG-12 + SKF-10)",,PC,22,,,,,,,,,,,,,,
68,1000022923,"BEARING,BALL,Dsgn:6208 2Z   SKF",,PC,47,,,,,,,,,,,,,,
,,"BEARING,BALL,6208  C3#    SKF",,PC,2,,,,,,,,,,,,,,
70,1000022924,"BEARING,BALL,6208 2Z C3#    SKF",,PC,1,,,,,,,,,,,,,,
71,1000532804,"BEARING,BALL;Dsgn:6208 ZZ C4   SKF",,PC,16,,,,,,,,,,,,,,
72,1000023199,"BEARING,BALL,6207 2Z C3    SKF",,PC,2,,,,,,,,,,,,,,
73,1000022920,"BEARING,BALL,6206 2Z#    SKF",,PC,33,,,,,,,,,,,,,,
74,1000208911,"BEARING,BALL,6205 2Z C3  SKF",,PC,26,,,,,,,,,,,,,,
75,1000022915,"BEARING,BALL,6004 2Z C3#   TIMKEN",,PC,20,,,,,,,,,,,,,,
76,1000023196,"BEARING,BALL,6203 2Z C3    SKF",,PC,63,,,,,,,,,,,,,,
77,1000208912,"BEARING,BALL,6202 2Z C3    SKF",,PC,36,,,,,,,,,,,,,,
78,1000023052,"BEARING,BALL,6201 2Z#    SKF",,PC,40,,,,,,,,,,,,,,
79,1000358154,BEARING;PN:6007 2Z/C3  SKF ,,PC,0,,,,,,,,,,,,,,
80,1000022981,"BEARING,BALL,6001   SKF",,PC,4,,,,,,,,,,,,,,
80,,"BEARING,BALL,6002 2Z C3   SKF",,PC,50,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,1000225360,"SWITCH,LIMIT,240VAC,1NO+1NC,XCK-S (JAI BAJAJI)",,PC,12,,,,,,,,,,,,,,
2,1000182313,"LIMIT SWITCH,240V AC,IEC60947-5-1, PLUNGER TYPE (SIEMENS)",,PC,47,,,,,,,,,,,,,,
3,1000202980,"LIMIT SWITCH,10A,PN:3SE3100-1E",,PC,8,,,,,,,,,,,,,,
4,,LIMIT SWITCH WITH PUSH ROD,,PC,14,,,,,,,,,,,,,,
5,,"LIMIT SWITCH LEVER ,10A,PN:3SE3100-1E (SIEMENS)",,PC,9,,,,,,,,,,,,,,
6,,NUT & BOLT FOR SENSORS 50MM X 4MM,,PC,50,,,,,,,,,,,,,,
7,,TANK LEVEL SWITCH (PUNE TECHROL),,PC,14,,,,,,,,,,,,,,
8,,TANK LEVEL SWITCH (USED),,PC,10,,,,,,,,,,,,,,
9,1000230427,PRESSURE SWITCH (HYD),,PC,8,,,,,,,,,,,,,,
10,1000230427,DIFFERENTIAL PRESS SWITCH (LUB),,PC,5,,,,,,,,,,,,,,
11,1000177915,"DIFFERENTIAL PRESS SWITCH, 0.5 - 10BAR (HYD)",,PC,4,,,,,,,,,,,,,,
12,1000225437,"DIFFERENTIAL PRESS SWITCH,MM:VD5D.0/L24",,PC,6,,,,,,,,,,,,,,
13,1000149657,"SWITCH,HYDRAULIC PRESSURE (400BAR)",,PC,3,,,,,,,,,,,,,,
14,1000318442,ROLL MOUNTING CART PRESSURE SWITCH,,PC,2,,,,,,,,,,,,,,
15,1000299968,VD CONTROLLER;MM3010DI13DR08AI02,,PC,4,,,,,,,,,,,,,,
16,1000539453,ANNOUNCIATOR,,PC,1,,,,,,,,,,,,,,
17,,"CONNECTOR, 3PIN",,PC,30,,,,,,,,,,,,,,
18,,"CONNECTOR, 4PIN",,PC,14,,,,,,,,,,,,,,
19,,"SOLENOID COIL WITH 3PIN CONNECTOR 24V, 4.8W",,PC,13,,,,,,,,,,,,,,
20,,RUBBER SEAL FOR CONNECTOR,,PC,20,,,,,,,,,,,,,,
21,1000248338,"COIL,SOL,24V DC,MM:347B04",,PC,22,,,,,,,,,,,,,,
22,,MODULE SPOOL VALVE (WATER BOX),,PC,2,,,,,,,,,,,,,,
23,,OIL LEVEL INDICATOR SEGMENT,,PC,9,,,,,,,,,,,,,,
24,,SIEMENS TEMP TRANSMITTER,,PC,2,,,,,,,,,,,,,,
25,,"ROSEMOIUNT TEMP TRANSMITTER, 4 WIRE TYPE",,PC,4,,,,,,,,,,,,,,
26,,"ROSEMOIUNT TEMP TRANSMITTER, 3 WIRE TYPE",,PC,3,,,,,,,,,,,,,,
27,1000352451,"ROSEMOIUNT PRESSURE TRANSMITTER, 0 - 25 BAR ",,PC,2,,,,,,,,,,,,,,
28,,"Pressure Transmitter (0-800 PSI),4-20mA, Make-ABB",,PC,1,,,,,,,,,,,,,,
28A,,"ABB TEMP TRANSMITTER,  0 - 200 C",,PC,1,,,,,,,,,,,,,,
