WRM Electrical Spare List ,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,,Unit,Qty (01.02.24),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Sr.No.,Material Code,Material Details,MLFB No.,Unit,Qty (01.02.24),Used Location,Capacity,Storage Location,Type,,,,,,,,,,
40,1000446908,"IPD FOR SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 410A RATED POWER: 400KW CHASSIS (LHPR)",6SL3352-3AG34-1AA0,PC,1,,,,,,,,,,,,,,
41,1000349039,"IPD FOR SINAMICS SINGLE MOTOR MODULES INPUT: 600 V DC OUTPUT: 3-PH 400 V, 310 A (Billet Skid & Trim Shear)",6SL3352-3AE33-1AA0,PC,3,,,,,,,,,,,,,,
42,1000333131,"IPD FOR SINAMICS S120 SMART LINE MODULE 3AC 380-480V, 50/60HZ OUTPUT: DC 510 - 650V, 1430A RATED POWER (INFEED-6,7A,7B)",6SL3330-6TE41-7AA3,PC,3,,,,,,,,,,,,,,
43,1000348719,"IPD FOR SINAMICS SINGLE MOTOR MODULES INPUT: 600 V DC OUTPUT: 3-PH 400 V, 260 A (Chopping Shear)",6SL3352-3AE32-6AA0,PC,3,,,,,,,,,,,,,,
44,1000333127,"IPD FOR SINAMICS S120 SMART LINE MODULE 3AC 500-690V, 50/60HZ OUTPUT: DC 675-930V, 1700A RATED POWER: 1400KW (INFEED-1,2,3,5)",6SL 3330-6TG41-7AA0,PC,14,,,,,,,,,,,,,,
45,1000445484,"IPD FOR SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 910A RATED POWER: 900KW CHASSIS",6SL3352-3AG38-8AA0,PC,2,,,,,,,,,,,,,,
46,1000405043,"IPD FOR SINAMICS  CARD;330A,1080VAC",6SL3352-3AG33-3AA0,PC,1,,,,,,,,,,,,,,
47,1000252724,"POWER SUPPLY,PN:6SL39556HX001AA0",6SL39556HX001AA0,PC,2,,,,,,,,,,,,,,
49,1000255469,DRIVE-CLICQ CABLE 5.0m,6SL3060-4AA50-0AA0,PC,9,,,,,,,,,,,,,,
50,1000234763,DRIVE-CLICQ CABLE 2.8m,6SL3060-4AJ20-0AA0,PC,14,,,,,,,,,,,,,,
51,,,,PC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
D1,1000189376,"SINAMICS S120 SMART LINE MODULE 3AC 500-690V, 50/60HZ OUTPUT: DC 675-930V, 1700A RATED POWER: 1400KW 
MLFB NO- 6SL 3330-6TG41-7AA0",,PC,1 old,"Drive Section#01,02,03,05
(Installed Qty-12)",,,,,,,,,,,,,
D2,1000189367,"SINAMICS S120 SMART LINE MODULE 3AC 380-480V, 50/60HZ OUTPUT: DC 510 - 650V, 1430A RATED POWER: 800KW 
MLFB NO- 6SL3330-6TE41-7AA0",,PC,0,"Drive Section#06,7A
(Installed Qty-5)",,,,,,,,,,,,,
D3,1000357097,"SINAMICS S120 SMART LINE MODULE 3AC 380-480V, 50/60HZ OUTPUT: DC 510 - 650V, 1430A RATED POWER: 800KW 
MLFB NO- 6SL3330-6TE41-7AA3",,PC,1,"Drive Section#7B
 (Installed Qty-1)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
D4,1000227968,"SINAMICS SINGLE MOTOR MODULE INPUT: DC 675-1080V OUTPUT: 3AC 0-690V, 1270A RATED POWER: 1200KW 
MLFB NO- 6SL3320-1TG41-3AA0",,PC,1Old + 1New,"Stand#03,09,11,13
 (Installed Qty-4)",,,,,,,,,,,,,
